tsb.adenovirus.ir,pbs.adenovirus.ir,fbs.adenovirus.ir,astm.adenovirus.ir
0.000289596,3.13E-05,3.77E-05,8.67E-05
0.000251645,4.92E-05,0.000125765,5.06E-05
0.000829604,0.000137084,2.92E-05,0.000153119
4.38E-05,8.96E-05,1.79E-05,2.06E-05
3.65E-05,0.000163892,0.000279738,2.45E-05
3.77E-05,0.000195963,2.80E-05,0.0006477
1.10E-06,0.000358305,1.85E-05,0.000491875
7.19E-06,0.000291143,0.000191968,0.000322914
0.004254563,2.26E-05,3.38E-05,0.0004952
5.92E-05,0.000149877,2.42E-05,0.000169499
3.80E-05,7.36E-05,4.17E-05,0.000138339
1.39E-05,0.000281983,2.44E-05,0.000227489
2.23E-05,0.000601269,0.000239051,0.000420996
4.02E-05,6.92E-05,3.22E-05,0.002398478
0.000243612,0.000338156,5.16E-05,0.00095741
5.31E-06,4.80E-05,6.25E-06,0.000699238
0.000156202,8.04E-05,5.82E-05,0.000421919
7.85E-05,4.26E-05,0.000363172,0.000110849
0.000908754,2.70E-05,3.98E-05,0.000480604
0.000206921,0.000189085,7.17E-05,0.000149874
0.000184926,0.000117083,3.95E-05,6.37E-06
4.85E-05,0.000100403,1.15E-05,0.000361291
5.94E-05,0.000161167,7.79E-05,0.000335213
1.23E-05,3.89E-06,0.000145793,0.000501776
7.31E-05,0.000133497,2.46E-05,0.000455312
0.00021967,4.14E-05,0.000224327,0.000875298
0.000205639,0.000306178,0.000127951,5.29E-05
0.000344678,0.000252287,3.99E-05,0.000108978
6.75E-05,0.000391398,7.91E-05,7.81E-05
0.00010752,0.000105806,9.55E-06,2.99E-05
2.76E-05,4.34E-05,6.24E-05,4.77E-05
0.000191034,0.000264726,7.40E-06,0.000135693
9.58E-06,0.000256766,0.000131533,3.12E-05
0.000241571,4.33E-05,0.000113453,0.000168109
3.71E-05,9.10E-06,2.41E-05,0.000473813
1.03E-05,1.09E-05,2.63E-05,0.000141863
3.02E-05,0.002835579,0.00044071,5.62E-05
2.31E-05,1.29E-05,0.000256692,5.28E-06
0.000264851,0.000490714,4.79E-05,0.000817029
7.52E-05,9.47E-06,4.58E-05,0.000478728
0.000381814,0.000191987,7.72E-05,0.000659187
3.87E-05,0.000104948,0.000239332,0.000166345
4.05E-05,0.000228324,1.25E-05,0.001784073
3.41E-05,0.000105938,4.18E-06,3.61E-05
0.000144782,0.000264063,5.13E-05,4.71E-06
4.28E-05,0.000208832,0.0001357,9.93E-06
9.54E-07,1.85E-05,4.29E-05,0.000553877
1.69E-07,0.000155345,6.34E-06,7.42E-05
9.22E-05,2.62E-05,6.01E-06,7.89E-05
0.000255799,7.01E-05,1.69E-05,2.09E-05
0.000192721,2.01E-05,7.04E-06,0.000208571
3.60E-05,0.000210598,0.000313907,7.16E-05
2.23E-05,0.000120809,5.14E-05,0.000135575
2.71E-05,0.000157439,3.41E-05,2.92E-05
7.29E-05,4.43E-05,8.35E-05,9.87E-05
7.48E-05,1.49E-05,0.000158023,0.000221131
0.000155283,7.67E-05,6.96E-05,0.000214862
0.00018747,0.00026192,3.46E-06,0.000106769
0.001104263,5.78E-05,0.00073758,0.000201968
4.06E-05,0.000500728,1.72E-05,4.00E-05
2.94E-05,7.69E-05,0.000510543,0.000207205
0.00011577,6.97E-05,2.18E-05,0.000533961
2.51E-05,0.00010849,5.00E-05,0.000321514
0.000116119,2.66E-05,2.03E-05,0.00010822
9.68E-05,7.76E-05,4.07E-05,0.000540623
0.000126885,0.00027229,1.42E-05,4.30E-05
3.35E-05,0.000546105,8.44E-05,5.59E-05
0.000464433,3.28E-05,6.34E-05,0.000470869
9.55E-05,0.000190697,1.63E-05,4.09E-05
5.74E-05,0.000375153,1.58E-05,0.000156757
0.000124001,7.50E-05,0.000113673,0.000891043
5.26E-05,1.28E-05,0.000694458,0.00132858
8.56E-05,3.10E-05,8.07E-05,4.24E-05
1.11E-05,0.000210215,4.10E-06,0.000254767
0.000218292,0.000666209,8.76E-06,0.000189797
0.000245761,0.000131396,0.000101699,0.000368844
0.000343071,0.000213846,9.47E-05,0.000996591
0.000126163,3.08E-05,2.38E-05,0.000660888
2.01E-05,0.000130045,3.69E-05,0.000347016
0.000626961,0.000251746,0.000131153,0.000162014
8.29E-07,0.000522145,2.43E-05,0.000204068
0.000144337,0.000747154,0.001021683,0.000405463
0.000793632,0.000155321,0.000140269,0.000652774
0.000205342,0.000196934,0.000283318,0.000552703
0.000100141,7.62E-05,0.000447716,0.000403884
1.99E-05,9.93E-05,6.26E-05,0.000337833
7.24E-05,0.000199114,4.70E-05,7.15E-05
0.000175426,0.000103495,1.18E-05,0.000294755
0.000276339,4.63E-05,3.81E-06,0.000337179
8.92E-05,0.00095012,0.000179627,3.33E-05
0.00031048,0.00041413,9.01E-05,0.000465129
0.000123144,9.55E-05,4.81E-05,0.000432076
3.65E-06,1.47E-05,3.73E-05,0.000721775
1.69E-06,1.91E-05,4.14E-05,6.54E-05
0.000915965,0.000397549,0.000233815,0.000195015
3.61E-05,0.000219566,2.09E-05,0.000148333
0.000768416,8.19E-05,0.000146927,4.40E-05
4.21E-07,0.000132847,5.69E-05,8.71E-05
4.40E-05,0.000108761,0.000197309,0.000247679
1.82E-05,2.22E-05,4.61E-05,0.001335122
0.000301033,8.48E-05,1.22E-05,0.001608053
0.000100228,8.68E-05,0.000178695,0.000888029
0.000453596,5.97E-05,4.72E-05,0.000290099
1.53E-05,9.84E-05,0.000229125,0.002268316
1.32E-05,0.000390101,6.43E-05,0.000431715
0.000105696,9.61E-06,8.91E-05,0.000155184
3.77E-06,1.83E-05,0.000764417,0.000116437
3.07E-05,2.47E-05,0.000245314,6.46E-05
4.90E-05,0.00013327,0.000205669,0.00080225
7.63E-05,6.40E-06,0.000158656,0.002487339
0.001341794,6.71E-06,1.51E-05,0.000304409
0.000129566,2.40E-05,3.56E-05,8.94E-05
2.06E-05,6.30E-05,8.39E-05,0.000318967
7.97E-05,0.000153636,0.000220878,4.84E-05
4.60E-05,3.31E-05,0.000818531,0.00017098
0.000168532,0.000619384,5.57E-05,0.000210852
0.001044278,0.000810915,4.20E-05,0.000647879
2.33E-06,4.83E-05,0.000267151,0.000130257
9.52E-05,0.000109033,9.25E-05,7.43E-05
6.42E-05,4.10E-05,8.67E-06,7.29E-05
0.000726929,0.000289073,0.000211658,5.18E-06
0.000152341,7.42E-06,9.33E-06,0.000266798
1.05E-05,7.13E-06,1.54E-06,0.000108125
7.97E-06,0.000216897,6.46E-06,6.17E-05
2.19E-05,1.89E-05,0.000224857,0.000148459
0.000764337,0.000173997,0.000104192,0.001295918
0.000167127,0.000164555,3.71E-06,0.001843861
3.03E-06,5.02E-05,0.000102231,0.000105998
0.000421179,0.000238889,0.000112801,9.81E-06
0.000182736,0.000731246,8.31E-05,0.000404008
1.67E-05,0.000138879,3.35E-05,0.001018546
0.000160515,7.69E-06,0.000100161,0.000201983
0.000398113,5.78E-05,0.000377042,0.000614615
3.93E-05,0.000325034,3.80E-05,2.83E-05
6.98E-05,0.000778208,1.34E-05,0.000162014
0.000718808,3.81E-05,1.02E-05,7.47E-05
8.28E-05,6.22E-05,5.61E-05,0.000288644
0.000516567,0.00026321,1.41E-05,3.80E-05
8.74E-05,4.14E-05,6.09E-05,0.000242433
9.03E-05,1.69E-05,2.29E-05,0.000141417
0.00053545,1.03E-05,1.56E-06,0.000596581
4.38E-06,1.11E-05,3.17E-05,0.000374397
0.000106955,2.17E-05,0.000605083,1.48E-05
0.000228053,0.000343727,2.23E-05,0.001574461
2.22E-05,0.00018704,2.81E-05,7.30E-05
2.59E-05,8.08E-05,0.000277685,5.90E-05
0.000237815,2.37E-05,7.42E-05,0.000177226
1.04E-05,7.22E-05,8.78E-05,5.49E-05
0.000119983,2.98E-05,1.62E-05,0.000586035
1.38E-05,5.33E-05,0.000157678,5.14E-05
6.31E-05,0.00021674,0.000312286,0.000373603
0.000386653,0.000144686,0.000103552,5.87E-05
2.59E-07,0.001396809,5.10E-05,0.000310652
8.72E-07,4.00E-05,6.96E-06,0.000259368
7.28E-06,6.08E-05,2.40E-05,0.000365775
4.00E-05,6.78E-05,1.54E-06,0.000156276
0.000183961,7.25E-06,0.000333,0.000467203
0.001116865,0.000145566,8.29E-05,8.70E-05
4.49E-05,1.21E-05,5.12E-06,3.70E-06
5.86E-05,0.000494033,4.05E-05,0.000218039
0.000416834,3.23E-06,0.000230444,2.85E-05
0.000102025,0.00028863,9.09E-06,0.000732051
0.000133202,0.000525123,0.000110271,0.00048527
0.000165603,0.000116307,8.51E-05,0.000775925
0.000136752,4.81E-05,3.12E-05,9.24E-05
2.70E-05,3.94E-05,0.000131054,7.48E-05
3.64E-05,0.00012682,1.16E-05,0.001094963
7.81E-05,0.000242477,0.000223787,0.000168375
1.41E-05,1.49E-05,0.000210868,0.000675193
2.08E-05,0.000143015,5.55E-05,5.97E-05
2.38E-06,8.51E-05,0.000329192,0.000102198
0.000116252,0.000296911,0.00018101,0.00030311
2.83E-05,1.58E-05,8.86E-06,0.005537002
0.000229878,2.65E-05,3.83E-05,0.000138031
2.59E-05,0.000270035,0.000142198,0.00077713
4.11E-06,5.66E-05,0.000264963,0.000857124
1.72E-05,0.000109001,0.000258248,0.002216761
8.46E-05,4.41E-05,0.000274525,8.68E-05
0.00045572,8.24E-06,0.000119344,0.000138337
1.49E-05,5.13E-05,0.000379157,7.46E-05
0.000134775,0.000227717,5.53E-05,8.80E-05
1.38E-06,0.000246797,3.58E-06,9.27E-05
0.000274083,7.65E-08,2.53E-05,0.002974019
6.10E-05,0.000192642,0.000298873,3.36E-05
1.29E-05,0.000619955,0.000516039,0.000100577
9.38E-06,0.000279827,0.000266934,0.000268677
0.000990552,0.000136589,3.70E-05,0.000562299
0.000448151,2.54E-05,0.000173152,0.000115617
0.000112282,7.32E-05,4.26E-05,0.000379639
0.000255068,0.000153962,2.83E-05,2.16E-05
0.00016973,0.000204203,4.46E-05,0.002123721
0.000848392,3.10E-05,0.00036111,0.000622144
0.000303901,0.000116761,5.20E-05,0.001335182
1.80E-05,5.69E-06,0.00018487,4.54E-05
2.96E-06,8.53E-05,0.000196883,0.002348965
5.93E-05,5.07E-05,2.56E-05,2.97E-06
1.26E-06,8.93E-05,3.76E-05,0.000393165
0.000408818,8.23E-05,0.000128682,0.000133451
8.28E-05,4.89E-05,9.26E-05,0.000442247
3.08E-05,9.10E-05,1.93E-05,0.000140264
0.000104903,0.000220754,0.000225482,1.93E-05
3.04E-05,0.000482681,0.000128913,0.000617926
0.000278919,0.000223103,2.60E-05,5.28E-05
9.50E-05,3.70E-05,6.00E-06,0.000241502
7.42E-05,0.000143979,0.000133663,5.83E-05
0.000179012,3.46E-05,4.38E-05,0.000647919
0.000245932,1.98E-05,4.55E-06,6.47E-06
0.000202241,3.47E-05,8.10E-07,0.000493218
3.31E-05,0.000120197,6.89E-05,8.43E-05
0.000291429,0.000133899,0.00073222,0.000242739
0.000220241,1.69E-05,0.000277939,0.000476786
4.97E-06,0.000110101,8.17E-05,0.000205314
0.000146542,4.88E-06,2.45E-05,0.000172093
4.73E-05,9.90E-05,9.65E-05,0.00178505
0.000166997,2.87E-05,0.000168208,6.72E-05
0.000546336,0.000109045,3.37E-05,7.93E-05
2.06E-05,4.38E-05,5.20E-05,0.000168853
0.000102685,0.000167639,0.000440642,0.000153319
2.23E-05,1.19E-05,9.89E-08,0.00024865
0.000256159,1.36E-05,3.96E-05,0.000407859
9.31E-06,7.36E-05,1.62E-05,2.47E-05
7.59E-05,1.38E-05,0.000233976,0.001093094
0.000109023,0.000162279,9.57E-05,0.000116239
3.91E-05,0.000147398,3.10E-05,3.99E-05
5.92E-05,0.00023201,0.000178501,0.000130997
6.37E-05,0.000124331,0.000108348,4.93E-07
0.000176043,4.51E-05,2.31E-05,0.000343542
0.000561535,7.77E-05,0.000215356,0.000414929
9.72E-07,0.000126648,6.20E-05,0.000190682
0.000637912,0.000103594,0.000103247,0.000283755
3.71E-05,6.52E-05,1.46E-05,0.000653725
0.00017153,4.02E-05,3.69E-05,0.000318903
0.000201083,5.81E-05,0.000372868,0.000186898
0.000373855,8.54E-05,0.000417406,0.000947172
0.0004185,0.000214965,5.21E-05,0.000100819
0.000117543,0.000117232,0.000314884,0.000248479
2.66E-05,0.000352663,3.25E-05,0.000107162
5.47E-05,0.000114059,9.96E-05,4.06E-05
0.000183385,0.000273376,5.64E-05,0.000123146
1.64E-05,0.000141087,3.46E-05,4.79E-05
5.03E-05,7.65E-05,0.000335929,7.96E-05
6.29E-06,3.91E-05,0.000228905,9.41E-05
0.000709425,0.000151352,6.25E-06,5.73E-05
0.000477093,2.23E-05,0.000177885,7.51E-05
8.41E-05,2.14E-05,3.47E-05,5.53E-05
1.67E-07,0.00012913,1.59E-05,5.81E-05
8.61E-05,0.000308362,3.76E-05,0.000141441
2.73E-05,7.08E-05,3.32E-05,0.000556601
9.96E-06,7.08E-05,0.000221577,0.000751426
7.71E-05,0.000249038,0.000612845,0.000543143
1.91E-05,9.56E-05,0.000179447,0.000190679
4.49E-05,1.26E-05,2.48E-05,0.000421619
9.35E-05,0.000147211,6.64E-05,0.00129244
0.000172318,1.25E-05,0.000153106,0.00045849
0.000260883,0.000101256,1.58E-05,0.000143589
3.73E-05,0.000111119,2.70E-06,0.000385446
2.12E-07,0.00066308,6.84E-05,0.000496439
0.000108301,1.84E-05,0.000196498,8.03E-05
0.001237266,2.58E-05,5.85E-05,0.000104581
5.63E-05,5.89E-05,8.49E-05,0.000527574
1.27E-05,0.000381623,0.000346763,0.000269652
0.003509463,0.000108046,7.01E-05,0.000227625
0.000255258,6.13E-05,5.58E-05,0.000269096
9.43E-06,3.59E-05,5.24E-05,0.000415574
6.79E-05,0.000894369,7.64E-05,0.000290334
0.000329158,8.31E-05,0.000100215,0.000237503
0.000141882,2.17E-05,9.10E-05,0.000280256
0.000316159,0.000108167,8.67E-05,0.00104732
9.63E-07,0.000278046,0.000381185,0.000290741
7.76E-05,7.13E-05,2.68E-05,0.000624965
0.000122549,0.000748513,3.10E-05,3.18E-05
7.13E-05,2.66E-05,1.44E-05,6.81E-05
2.80E-05,8.99E-05,0.000444042,0.00084751
0.000571502,0.000107533,1.78E-06,0.000671563
1.01E-05,0.000285769,4.91E-05,0.000300342
0.000165528,7.91E-05,8.08E-06,0.000406622
1.60E-05,9.57E-05,8.54E-07,0.003615194
0.000348695,0.000288851,5.70E-05,0.001589717
6.31E-05,6.62E-05,1.89E-07,0.000193784
4.84E-05,7.92E-05,4.08E-06,0.000599417
1.85E-05,0.000195197,0.000115244,4.31E-05
8.08E-06,5.36E-06,3.51E-05,0.000168522
0.000202928,0.000125936,5.08E-06,0.00149745
4.77E-05,1.02E-05,4.84E-05,9.41E-05
5.80E-05,4.28E-05,0.000133134,4.45E-05
1.11E-07,0.000112959,2.12E-06,0.000496221
0.001150694,0.000299592,0.000174009,0.000132275
0.000151937,0.000119106,4.99E-05,0.000510002
8.83E-05,3.01E-05,0.000146974,0.000124945
0.000280396,0.000174412,0.000998154,0.000200934
7.87E-05,0.000173205,9.74E-05,3.83E-05
0.000192158,9.21E-05,0.000293155,6.90E-05
0.000984561,0.000463618,0.000191145,0.000255675
0.000753683,0.000112415,5.00E-05,0.00123024
1.69E-05,0.000148757,1.21E-05,0.000207498
0.000192307,1.60E-05,4.76E-06,0.000228488
0.000465126,2.11E-05,0.000702277,0.001528825
1.92E-05,4.79E-06,9.69E-05,0.000353374
0.000371543,0.000248224,3.59E-05,0.000123855
0.000157638,0.000103218,0.000309364,0.000124177
1.53E-05,7.32E-05,8.02E-05,0.00149363
2.17E-05,1.96E-05,0.000100989,4.53E-05
6.86E-05,1.74E-05,0.000109788,0.000253958
5.88E-05,1.16E-05,6.04E-05,0.000240957
8.14E-05,0.000103593,0.000337022,0.001412148
3.33E-05,5.53E-06,0.000371353,1.51E-05
0.000643904,1.64E-06,0.000103148,0.000204233
1.99E-06,2.17E-05,9.47E-05,5.45E-05
6.27E-05,0.000177392,0.000366246,0.000198343
0.000192151,0.000289967,0.0002215,0.000305391
8.38E-05,0.000350481,7.36E-05,0.000372315
0.000152131,4.08E-05,0.000780265,0.000241475
0.000135868,0.000111828,0.000207003,0.000143191
9.05E-05,2.46E-05,1.03E-05,8.72E-05
0.00010679,0.000241346,5.73E-05,0.001553226
0.000131411,2.44E-05,0.000170289,7.62E-05
7.00E-05,0.000810826,2.38E-05,7.18E-05
7.36E-06,0.001328622,3.80E-06,0.000140348
1.26E-05,4.02E-05,4.18E-05,0.000155401
7.91E-05,2.44E-05,0.000105283,3.99E-05
2.23E-05,2.08E-05,0.001277833,0.000380708
0.000127575,0.000224465,0.000102781,0.000149942
6.46E-06,0.000181558,0.000306355,4.09E-05
0.000137686,1.33E-06,2.98E-05,0.000142962
1.61E-05,6.97E-05,4.13E-05,2.55E-06
9.20E-05,7.39E-05,3.00E-06,0.001374593
3.98E-05,0.00039914,4.45E-05,0.000182589
0.000542786,2.76E-05,6.23E-05,8.27E-05
0.000474747,0.00042895,0.000136727,0.000715904
5.43E-05,0.000378733,0.000229872,0.000421727
0.00030275,0.000103763,0.00018865,9.99E-05
0.000210019,2.74E-05,4.33E-06,0.000270761
