pbs.norovirus.ir,tsb.norovirus.ir,fbs.norovirus.ir,astm.norovirus.ir
0.001036196,0.000445684,6.01E-05,0.00016357
0.002189498,0.000129595,0.000294355,0.000201714
0.000125535,0.002007476,0.000227913,0.001681147
0.000700776,0.000382266,6.37E-05,0.000151631
0.00127985,0.000225169,6.01E-05,0.000543107
0.000237862,0.000490256,0.000414702,0.003997802
5.16E-05,0.000191326,0.002414293,0.004607941
0.000114845,0.000313296,0.000283998,0.000151984
0.000832294,4.89E-05,1.45E-05,0.000822975
0.002967692,0.000685843,3.92E-05,0.000573813
0.000431595,0.000815184,0.000357478,0.001470598
0.000788076,0.001547824,0.000374153,0.003339756
0.000123948,0.000528838,9.11E-05,0.0021918
0.000430054,6.18E-05,0.000129878,0.001458598
0.001004946,0.002085742,0.000493154,0.000566976
0.001673519,3.48E-06,7.43E-05,0.000639076
0.002922524,0.000589407,0.004704671,0.00150008
0.000532567,0.003279347,0.000459844,0.002409208
0.000788333,0.000739282,0.001076545,0.002166332
0.000264173,0.000409975,0.001824334,0.001770899
0.000330612,9.33E-05,0.000177251,0.001266966
0.000838849,0.000321576,0.000191294,0.000264621
0.00041205,0.000690176,4.79E-05,0.000997281
0.000150563,0.000911049,1.52E-05,0.001064487
0.003533561,0.000367409,0.000655967,0.000136455
0.001579979,0.001042724,0.000329565,0.001826036
0.000366047,0.000477467,0.000133269,0.001321002
4.90E-05,1.58E-05,0.000139046,0.002645279
8.54E-05,5.97E-06,0.000158054,0.000204981
0.001472235,0.003218981,0.000895182,0.000678066
0.000705274,0.000127108,8.50E-05,0.000624859
0.0003285,0.00282058,0.000567869,0.000155393
0.000547469,1.57E-06,0.000174516,0.000303653
0.000444723,0.000160568,0.000867305,0.000738939
8.16E-05,7.15E-05,0.000196243,0.004660575
0.00029545,0.001090503,4.14E-05,0.005892054
0.000327299,0.000395119,0.000573542,0.003066779
0.000181716,0.001799598,0.000187663,0.001313039
0.000351918,6.38E-05,0.000745423,0.00768073
0.001205494,4.14E-05,0.000263085,0.001300017
3.40E-05,0.000392464,0.000304877,0.000595116
7.41E-05,1.33E-05,0.002739381,0.000442718
7.48E-05,8.94E-05,0.000999206,0.000235535
0.000616035,0.000181426,0.000781254,0.002491719
2.62E-05,0.000279522,0.000663078,0.008299514
2.18E-05,0.003977333,5.98E-05,0.001059557
0.000100847,0.000387669,0.000155223,0.000349016
0.000255328,7.74E-05,0.000265921,0.001294786
0.000505191,0.000325226,0.000863636,0.000174278
0.000129357,0.000181339,0.003577432,0.000648683
0.00226187,0.000594791,0.000220202,0.000874515
0.002424325,0.003788159,0.000179801,0.001976468
0.000166697,8.40E-06,0.001161968,0.00048773
0.000399294,0.000385957,0.000358917,0.000306991
0.000166483,0.000241297,3.52E-05,0.000290154
0.001332692,0.002717613,0.000869688,2.00E-05
2.99E-05,0.000529319,3.56E-05,0.000998456
2.17E-05,3.23E-05,6.10E-06,0.000465488
0.000867087,3.40E-05,1.92E-05,0.000248473
7.77E-05,8.18E-05,0.000722923,0.000502272
0.000644885,0.002705304,0.000402344,0.00492327
0.000631409,0.00071812,1.17E-05,0.005880485
0.000201578,1.02E-05,0.000330694,0.00042834
0.000826964,0.002048272,0.000429347,3.52E-05
0.002321945,0.000749529,0.000281623,0.001434878
0.000534106,6.99E-05,0.000130913,0.004072426
3.21E-05,0.000638697,0.000372672,0.000880912
0.000224949,0.001554115,0.001346214,0.002503067
0.001298218,0.000142506,0.000151447,0.000108508
0.00303134,0.000253678,4.83E-05,0.000603973
0.000157128,0.002855757,3.94E-05,0.000308435
0.00027144,0.000285769,0.000210403,0.001121107
0.000967737,0.002100976,4.64E-05,0.000172548
0.000160363,0.000304039,0.000220317,0.000909674
5.61E-05,0.000374871,8.31E-05,0.000470421
3.77E-05,0.002080983,5.49E-06,0.002397119
3.78E-05,1.68E-05,0.000116131,0.00163493
8.08E-05,0.000446336,0.002108848,5.02E-05
0.001174382,0.000843428,9.07E-05,0.005404185
0.000656407,9.88E-05,0.00010092,0.000260333
0.000263966,8.13E-05,0.001044701,0.000204842
7.27E-05,0.000942203,0.00028323,0.000709209
0.000286297,4.46E-05,0.00025774,0.000251293
0.000116303,0.000501993,5.18E-05,0.001949373
0.000181156,5.37E-05,0.000565081,0.000167821
0.000954758,0.000252453,0.001202647,0.00161616
0.000598426,0.001575229,0.000352793,0.000186236
0.005698592,1.08E-06,0.000168607,0.001114277
0.000180898,3.05E-06,2.66E-05,0.000950724
0.000206161,2.65E-05,0.000101039,0.001352329
0.000228322,0.000131833,5.89E-06,0.000529831
2.93E-05,0.000733465,0.001423567,0.001783157
0.000433689,0.003834386,0.000294417,0.00035002
4.66E-05,0.000136808,1.88E-05,1.50E-05
0.001978989,0.000219575,0.000159974,0.000828937
1.07E-05,0.001678572,0.00093508,0.000121847
0.001019777,0.000329857,2.67E-05,0.002758932
0.001895154,0.000472017,0.000427485,0.002094609
0.00047085,0.000680972,0.000329635,0.002949597
0.000194774,0.000478182,0.000107138,0.000360856
0.000161351,9.37E-05,0.00044621,0.000284412
0.000528858,0.000144619,4.54E-05,0.004016244
0.000941275,0.000275094,0.000797139,0.000565372
5.66E-05,5.11E-05,0.000851671,0.002310905
0.000554519,6.71E-05,0.000254138,0.00022865
0.000300788,9.93E-06,0.001306446,0.000375216
0.001236254,0.000431039,0.000664587,0.001305328
5.88E-05,0.000101872,3.01E-05,0.019790303
9.60E-05,0.000814281,0.000169087,0.000572634
0.000761283,0.000107028,0.000412105,0.002816658
0.000210026,1.36E-05,0.000944929,0.003388786
0.00046349,6.68E-05,0.001017988,0.008615892
0.000144669,0.000346645,0.001139846,0.000312316
2.82E-05,0.001461333,0.000425776,0.000492073
0.000209852,5.42E-05,0.001388084,0.000271154
0.000842546,0.000467828,0.000223187,0.000284332
0.000928365,4.90E-06,1.39E-05,0.000351674
2.34E-07,0.001044781,8.07E-05,0.009127192
0.000739916,0.00017306,0.00107719,0.000152234
0.001890392,4.48E-05,0.001762894,0.000372591
0.000955379,3.59E-05,0.000801014,0.000837686
0.000507254,0.003560582,0.00014686,0.002007898
8.18E-05,0.001375537,0.000667112,0.000342595
0.000277764,0.000444841,0.000171198,0.001663172
0.000575851,0.001128339,0.000128558,9.15E-05
0.000614823,0.000700794,0.000154992,0.006380911
0.00011196,0.00331684,0.001215364,0.002513324
0.00042545,0.001337122,0.000152777,0.005239326
2.14E-05,6.35E-05,0.000728007,0.000176217
0.000283788,9.20E-06,0.000765476,0.008687789
0.000223755,0.0002484,9.85E-05,1.12E-05
0.000388538,4.83E-06,0.000159818,0.001601244
0.000247877,0.001594588,0.000514478,0.000516583
0.000221311,0.000317629,0.000416232,0.001473971
0.000304652,0.000110505,7.78E-05,0.000581082
0.000953657,0.000452344,0.000957024,7.90E-05
0.001976922,0.000101013,0.000537184,0.002438931
0.000790587,0.001084126,0.000100847,0.000221108
0.000124962,0.000406455,2.36E-05,0.000917364
0.000547812,0.000250712,0.00054182,0.000228415
0.000125383,0.000756138,0.00013419,0.002143458
6.96E-05,0.000876078,1.70E-05,2.41E-05
0.000130869,0.00069027,3.32E-06,0.001772911
0.000426221,0.000126427,0.000287748,0.000363511
0.00058622,0.001149969,0.002398371,0.000680603
6.61E-05,0.000667887,0.001087405,0.001883184
0.00051038,1.72E-05,0.000285134,0.000711277
1.70E-05,0.000558075,9.00E-05,0.000583541
0.000378334,0.000174594,0.000371404,0.006407873
0.000109721,0.000565704,0.000638034,0.000270003
0.000416577,0.001875928,0.000137841,0.000341525
0.000179124,7.96E-05,0.000208819,0.000618421
0.000700138,0.000461979,0.00161625,0.000488745
3.73E-05,8.68E-05,3.71E-07,0.00094137
5.52E-05,0.000873439,0.000160032,0.001348162
0.000249376,4.30E-05,5.76E-05,8.22E-05
5.71E-05,0.000274742,0.00094363,0.00422295
